,bert-base-uncased_on_bert-base-uncased-A2TYoo2021,albert-base-v2_on_bert-base-uncased-A2TYoo2021,distilbert-base-uncased_on_bert-base-uncased-A2TYoo2021,bert-base-uncased_on_bert-base-uncased-TextFoolerJin2019,albert-base-v2_on_bert-base-uncased-TextFoolerJin2019,distilbert-base-uncased_on_bert-base-uncased-TextFoolerJin2019,bert-base-uncased_on_albert-base-v2-A2TYoo2021,albert-base-v2_on_albert-base-v2-A2TYoo2021,distilbert-base-uncased_on_albert-base-v2-A2TYoo2021,bert-base-uncased_on_albert-base-v2-TextFoolerJin2019,albert-base-v2_on_albert-base-v2-TextFoolerJin2019,distilbert-base-uncased_on_albert-base-v2-TextFoolerJin2019,bert-base-uncased_on_distilbert-base-uncased-A2TYoo2021,albert-base-v2_on_distilbert-base-uncased-A2TYoo2021,distilbert-base-uncased_on_distilbert-base-uncased-A2TYoo2021,bert-base-uncased_on_distilbert-base-uncased-TextFoolerJin2019,albert-base-v2_on_distilbert-base-uncased-TextFoolerJin2019,distilbert-base-uncased_on_distilbert-base-uncased-TextFoolerJin2019
accuracy,-0.5583524027459954,0.0,-0.3890865954922894,-0.9588100686498856,0.0,-0.7473309608540926,-0.28489702517162463,0.0,-0.27520759193357064,-0.660183066361556,0.0,-0.6204033214709371,-0.397025171624714,0.0,-0.5587188612099644,-0.6979405034324943,0.0,-0.970344009489917
recall,-0.6583210603829159,0.0,-0.4629349470499244,-0.9985272459499264,0.0,-0.8320726172465962,-0.3667157584683359,0.0,-0.35098335854765517,-0.849779086892489,0.0,-0.7912254160363086,-0.491899852724595,0.0,-0.6308623298033282,-0.8247422680412371,0.0,-0.9969742813918305
precision,-0.31151693667157593,0.0,-0.16791275161893504,-0.99587833415153,0.0,-0.5936258804064153,-0.08361382643712507,0.0,-0.08635794410662868,-0.47127486478317077,0.0,-0.39845884260821296,-0.15561088927015165,0.0,-0.3249331647773196,-0.522777932571747,0.0,-0.9919481707470308
f1,-0.5345729341701273,0.0,-0.3397310092164661,-0.9977711640887389,0.0,-0.7570480260925088,-0.24332939216052335,0.0,-0.2342609858213419,-0.7585396480892954,0.0,-0.6819270102174793,-0.35665926626074335,0.0,-0.515248029301696,-0.736854909831828,0.0,-0.9954939885306909
